content_count,count
United States,3527
India,1057
United Kingdom,638
Pakistan,421
Canada,271
Japan,259
South Korea,214
France,213
Spain,182
Mexico,138
Egypt,123
Australia,114
Turkey,112
Nigeria,105
Germany,104
China,100
Brazil,88
Indonesia,86
Taiwan,86
Philippines,83
Hong Kong,79
Argentina,76
Italy,66
Thailand,66
South Africa,42
Colombia,42
Denmark,30
Poland,30
Netherlands,28
Ireland,28
Singapore,28
Lebanon,24
Malaysia,23
Israel,22
Chile,22
Norway,21
United Arab Emirates,21
Russia,19
Sweden,19
Belgium,18
New Zealand,17
Saudi Arabia,12
Romania,10
Austria,9
Uruguay,9
Switzerland,8
Vietnam,7
Kuwait,7
Peru,6
Finland,6
Iceland,6
Czech Republic,6
Hungary,5
Bulgaria,5
Kenya,4
Ghana,4
Portugal,4
Bangladesh,3
Serbia,3
Jordan,2
Croatia,2
Venezuela,2
Georgia,2
Cambodia,2
Ukraine,2
Mauritius,2
Syria,2
Paraguay,1
Somalia,1
Cyprus,1
Puerto Rico,1
Belarus,1
Senegal,1
Luxembourg,1
Namibia,1
Cameroon,1
Jamaica,1
Guatemala,1
Slovenia,1
Mozambique,1
Iran,1
West Germany,1
Greece,1
Zimbabwe,1
Soviet Union,1
